is:open created:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2023-04-06,0,1,1,0,0,11
2023-04-05,1,2,6,1,0,12
2023-04-04,1,1,5,1,0,12
2023-04-03,1,1,3,1,0,12
2023-04-02,0,3,0,1,0,12
2023-04-01,1,5,0,1,0,12
2023-03-31,2,3,0,1,0,12
2023-03-30,5,1,1,0,1,12
2023-03-29,1,0,1,0,1,12
2023-03-28,0,1,1,1,1,12
2023-03-27,0,1,1,1,1,12
2023-03-26,1,0,0,1,1,12
2023-03-25,0,1,1,1,1,13
2023-03-24,0,1,1,0,0,13
2023-03-23,1,0,1,1,0,13
2023-03-22,1,1,1,1,0,13
2023-03-21,0,1,2,1,0,13
2023-03-20,1,0,0,1,0,13
2023-03-19,0,2,0,1,0,13
2023-03-18,0,2,0,1,1,13
2023-03-17,2,0,0,0,1,13
2023-03-16,0,0,1,0,1,13
2023-03-15,0,0,2,0,1,18
2023-03-14,6,0,3,0,1,19
2023-03-13,0,0,1,0,1,19
2023-03-12,1,2,0,0,1,19
2023-03-11,0,3,0,0,1,20
2023-03-10,2,1,0,0,1,20
2023-03-09,2,0,0,0,1,20
2023-03-08,0,0,0,0,2,19
2023-03-07,0,1,1,0,2,19
2023-03-06,0,1,0,0,2,19
2023-03-05,1,1,0,0,2,19
2023-03-04,1,1,0,0,2,19
2023-03-03,1,1,0,1,1,19
2023-03-02,0,1,0,2,1,19
2023-03-01,2,0,0,2,1,19
2023-02-28,0,0,2,2,1,20
2023-02-27,1,0,2,1,1,20
2023-02-26,0,0,3,1,2,19
2023-02-25,0,0,1,1,2,19
2023-02-24,0,2,2,0,2,19
2023-02-23,0,2,1,0,2,19
2023-02-22,2,2,1,0,2,19
2023-02-21,0,2,1,0,1,19
2023-02-20,2,0,0,1,2,18
2023-02-19,0,1,0,1,3,17
2023-02-18,0,2,0,1,3,17
2023-02-17,2,0,0,1,3,17
2023-02-16,1,0,0,1,3,17
2023-02-15,0,0,0,1,3,17
2023-02-14,0,3,0,0,3,18
2023-02-13,0,3,1,0,3,20
2023-02-12,3,0,1,0,3,20
2023-02-11,0,0,1,0,2,20
2023-02-10,1,0,0,1,3,20
2023-02-02,0,0,0,0,0,0
