is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-blocked,S-waiting-on-bors
2023-02-01,0,0,0,0,0
2023-01-31,0,0,0,0,0
2023-01-30,0,0,0,0,0
2023-01-29,0,0,0,0,0
2023-01-28,0,0,0,0,0
2023-01-27,0,0,0,0,0
2023-01-26,0,0,0,0,0
2023-01-25,0,0,0,0,0
2023-01-24,0,0,0,0,0
2023-01-23,0,0,0,0,0
2023-01-22,0,0,0,0,0
2023-01-21,0,0,0,0,0
2023-01-20,0,0,0,0,0
2023-01-19,0,0,0,0,0
2023-01-18,0,0,0,0,0
2023-01-17,0,0,0,0,0
2023-01-16,0,0,0,0,0
2023-01-15,0,0,0,0,0
2023-01-14,0,0,0,0,0
2023-01-13,0,0,0,0,0
2023-01-12,0,0,0,0,0
2023-01-11,0,0,0,0,0
2023-01-10,0,0,0,0,0
2023-01-09,0,0,0,0,0
2023-01-08,0,0,0,0,0
2023-01-07,0,0,0,0,0
2023-01-06,0,0,0,0,0
2023-01-05,0,0,0,0,0
2023-01-04,0,0,0,0,0
2023-01-03,0,0,0,0,0
2023-01-02,0,0,0,0,0
2023-01-01,0,0,0,0,0
2022-12-31,0,0,0,0,0
2022-12-30,0,0,0,0,0
2022-12-29,0,0,0,0,0
2022-12-28,0,0,0,0,0
2022-12-27,0,0,0,0,0
2022-12-26,0,0,0,0,0
2022-12-25,0,0,0,0,0
2022-12-24,0,0,0,0,0
2022-12-23,0,0,0,0,0
2022-12-22,0,0,0,0,0
2022-12-21,0,0,0,0,0
2022-12-20,0,0,0,0,0
2022-12-19,0,0,0,0,0
2022-12-18,0,0,0,0,0
2022-12-17,0,0,0,0,0
2022-12-16,0,0,0,0,0
2022-12-15,0,0,0,0,0
2022-12-14,0,0,0,0,0
2022-12-13,0,0,0,0,0
2022-12-12,0,0,0,0,0
2022-12-11,0,0,0,0,0
2022-12-10,0,0,0,0,0
2022-12-09,0,0,0,0,0
2022-12-08,0,0,0,0,0
2022-12-07,0,0,0,0,0
2022-12-06,0,0,0,0,0
2022-12-05,0,0,0,0,0
2022-12-04,0,0,0,0,0
2022-12-03,0,0,0,0,0
2022-12-02,0,0,0,0,0
2022-12-01,0,0,0,0,0
2022-11-30,0,0,0,0,0
2022-11-29,0,0,0,0,0
2022-11-28,0,0,0,0,0
2022-11-27,0,0,0,0,0
2022-11-26,0,0,0,0,0
2022-11-25,0,0,0,0,0
2022-11-24,0,0,0,0,0
2022-11-23,0,0,0,0,0
2022-11-22,0,0,0,0,0
2022-11-21,0,0,0,0,0
2022-11-20,0,0,0,0,0
2022-11-19,0,0,0,0,0
2022-11-18,0,0,0,0,0
2022-11-17,0,0,0,0,0
2022-11-16,0,0,0,0,0
2022-11-15,0,0,0,0,0
2022-11-14,0,0,0,0,0
2022-11-13,0,0,0,0,0
2022-11-12,0,0,0,0,0
2022-11-11,0,0,0,0,0
2022-11-10,0,0,0,0,0
2022-11-09,0,0,0,0,0
2022-11-08,0,0,0,0,0
2022-11-07,0,0,0,0,0
2022-11-06,0,0,0,0,0
2022-11-05,0,0,0,0,0
2022-11-04,0,0,0,0,0
2022-11-03,0,0,0,0,0
2022-11-02,0,0,0,0,0
2022-11-01,0,0,0,0,0
2022-10-31,0,0,0,0,0
2022-10-30,0,0,0,0,0
2022-10-29,0,0,0,0,0
2022-10-28,0,0,0,0,0
2022-10-27,0,0,0,0,0
2022-10-26,0,0,0,0,0
2022-10-25,0,0,0,0,0
2022-10-24,0,0,0,0,0
